地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ
岩谷堂1・2・8・9・10・16区,,火 金 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
岩谷堂3区,,火 金 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
岩谷堂4・5・6・7・11・12・13・14・15区,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306 *2
愛宕（江刺）1・2・3区,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306 *2
愛宕（江刺）4・5・6区,,火 金 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306 *2
田原地区,,火 金 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
伊手地区,,火 金 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
米里地区,,月 木 *3,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
藤里地区,,月 木 *3,20230405 20230510 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
玉里地区,,火 金 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
梁川地区,,火 金 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306 *2
広瀬地区,,月 木 *3,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306 *2
稲瀬地区,,月 木 *3,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240327 *2
